date;unit;consumption;time
26.3.2019;fridge;154,7W;00:00
26.3.2019;fridge;154,7W;00:05
26.3.2019;fridge;154,7W;00:10
26.3.2019;fridge;42,7W;00:15
26.3.2019;fridge;45,4W;00:20
26.3.2019;fridge;45,4W;00:25
26.3.2019;fridge;42,5W;00:30
26.3.2019;fridge;42,5W;00:35
26.3.2019;fridge;42,5W;00:40
26.3.2019;fridge;42,5W;00:45
26.3.2019;fridge;40,2W;00:50
26.3.2019;fridge;40,2W;00:55
26.3.2019;fridge;40,2W;01:00
26.3.2019;fridge;35,8W;01:05
26.3.2019;fridge;36,0W;01:10
26.3.2019;fridge;36,1W;01:15
26.3.2019;fridge;36,1W;01:20
26.3.2019;fridge;35,6W;01:25
26.3.2019;fridge;37,2W;01:30
26.3.2019;fridge;37,2W;01:35
26.3.2019;fridge;37,2W;01:40
26.3.2019;fridge;37,2W;01:45
26.3.2019;fridge;35,7W;01:50
26.3.2019;fridge;35,6W;01:55
26.3.2019;fridge;35,0W;02:00
26.3.2019;fridge;34,5W;02:05
26.3.2019;fridge;34,0W;02:10
26.3.2019;fridge;34,8W;02:15
26.3.2019;fridge;33,2W;02:20
26.3.2019;fridge;35,7W;02:25
26.3.2019;fridge;36,3W;02:30
26.3.2019;fridge;36,3W;02:35
26.3.2019;fridge;36,0W;02:40
26.3.2019;fridge;34,2W;02:45
26.3.2019;fridge;34,2W;02:50
26.3.2019;fridge;33,9W;02:55
26.3.2019;fridge;33,2W;03:00
26.3.2019;fridge;33,9W;03:05
26.3.2019;fridge;33,8W;03:10
26.3.2019;fridge;2,3W;03:15
26.3.2019;fridge;2,3W;03:20
26.3.2019;fridge;31,8W;03:25
26.3.2019;fridge;35,4W;03:30
26.3.2019;fridge;36,5W;03:35
26.3.2019;fridge;36,7W;03:40
26.3.2019;fridge;36,7W;03:45
26.3.2019;fridge;35,6W;03:50
26.3.2019;fridge;35,6W;03:55
26.3.2019;fridge;34,2W;04:00
26.3.2019;fridge;33,8W;04:05
26.3.2019;fridge;33,7W;04:10
26.3.2019;fridge;33,3W;04:15
26.3.2019;fridge;33,8W;04:20
26.3.2019;fridge;33,8W;04:25
26.3.2019;fridge;2,2W;04:30
26.3.2019;fridge;2,2W;04:35
26.3.2019;fridge;2,2W;04:40
26.3.2019;fridge;36,0W;04:45
26.3.2019;fridge;36,6W;04:50
26.3.2019;fridge;37,4W;04:55
26.3.2019;fridge;37,4W;05:00
26.3.2019;fridge;34,8W;05:05
26.3.2019;fridge;34,8W;05:10
26.3.2019;fridge;33,7W;05:15
26.3.2019;fridge;34,4W;05:20
26.3.2019;fridge;34,4W;05:25
26.3.2019;fridge;33,7W;05:30
26.3.2019;fridge;34,3W;05:35
26.3.2019;fridge;3,9W;05:40
26.3.2019;fridge;2,1W;05:45
26.3.2019;fridge;1,6W;05:50
26.3.2019;fridge;31,0W;05:55
26.3.2019;fridge;36,1W;06:00
26.3.2019;fridge;36,2W;06:05
26.3.2019;fridge;36,7W;06:10
26.3.2019;fridge;35,9W;06:15
26.3.2019;fridge;35,0W;06:20
26.3.2019;fridge;34,7W;06:25
26.3.2019;fridge;34,1W;06:30
26.3.2019;fridge;34,0W;06:35
26.3.2019;fridge;34,0W;06:40
26.3.2019;fridge;34,5W;06:45
26.3.2019;fridge;33,2W;06:50
26.3.2019;fridge;2,3W;06:55
26.3.2019;fridge;2,3W;07:00
26.3.2019;fridge;27,7W;07:05
26.3.2019;fridge;35,5W;07:10
26.3.2019;fridge;35,5W;07:15
26.3.2019;fridge;36,9W;07:20
26.3.2019;fridge;36,9W;07:25
26.3.2019;fridge;35,4W;07:30
26.3.2019;fridge;34,9W;07:35
26.3.2019;fridge;34,6W;07:40
26.3.2019;fridge;34,6W;07:45
26.3.2019;fridge;34,2W;07:50
26.3.2019;fridge;33,9W;07:55
26.3.2019;fridge;32,9W;08:00
26.3.2019;fridge;2,2W;08:05
26.3.2019;fridge;2,2W;08:10
26.3.2019;fridge;27,7W;08:15
26.3.2019;fridge;36,5W;08:20
26.3.2019;fridge;35,9W;08:25
26.3.2019;fridge;35,7W;08:30
26.3.2019;fridge;35,7W;08:35
26.3.2019;fridge;35,7W;08:40
26.3.2019;fridge;34,1W;08:45
26.3.2019;fridge;33,4W;08:50
26.3.2019;fridge;33,4W;08:55
26.3.2019;fridge;33,9W;09:00
26.3.2019;fridge;33,9W;09:05
26.3.2019;fridge;2,1W;09:10
26.3.2019;fridge;2,4W;09:15
26.3.2019;fridge;24,9W;09:20
26.3.2019;fridge;36,4W;09:25
26.3.2019;fridge;38,0W;09:30
26.3.2019;fridge;54,1W;09:35
26.3.2019;fridge;54,1W;09:40
26.3.2019;fridge;64,1W;09:45
26.3.2019;fridge;64,1W;09:50
26.3.2019;fridge;2,5W;09:55
26.3.2019;fridge;2,8W;10:00
26.3.2019;fridge;2,8W;10:05
26.3.2019;fridge;156,5W;10:10
26.3.2019;fridge;156,5W;10:15
26.3.2019;fridge;156,5W;10:20
26.3.2019;fridge;156,5W;10:25
26.3.2019;fridge;156,5W;10:30
26.3.2019;fridge;156,5W;10:35
26.3.2019;fridge;52,5W;10:40
26.3.2019;fridge;44,3W;10:45
26.3.2019;fridge;42,5W;10:50
26.3.2019;fridge;42,5W;10:55
26.3.2019;fridge;40,7W;11:00
26.3.2019;fridge;40,7W;11:05
26.3.2019;fridge;40,7W;11:10
26.3.2019;fridge;40,0W;11:15
26.3.2019;fridge;37,5W;11:20
26.3.2019;fridge;36,4W;11:25
26.3.2019;fridge;36,2W;11:30
26.3.2019;fridge;36,4W;11:35
26.3.2019;fridge;35,8W;11:40
26.3.2019;fridge;35,8W;11:45
26.3.2019;fridge;35,5W;11:50
26.3.2019;fridge;37,7W;11:55
26.3.2019;fridge;38,1W;12:00
26.3.2019;fridge;37,4W;12:05
26.3.2019;fridge;53,6W;12:10
26.3.2019;fridge;53,6W;12:15
26.3.2019;fridge;53,6W;12:20
26.3.2019;fridge;53,6W;12:25
26.3.2019;fridge;53,6W;12:30
26.3.2019;fridge;2,8W;12:35
26.3.2019;fridge;2,8W;12:40
26.3.2019;fridge;2,7W;12:45
26.3.2019;fridge;2,7W;12:50
26.3.2019;fridge;68,1W;12:55
26.3.2019;fridge;68,1W;13:00
26.3.2019;fridge;68,1W;13:05
26.3.2019;fridge;68,1W;13:10
26.3.2019;fridge;68,1W;13:15
26.3.2019;fridge;68,1W;13:20
26.3.2019;fridge;68,1W;13:25
26.3.2019;fridge;68,1W;13:30
26.3.2019;fridge;2,9W;13:35
26.3.2019;fridge;2,9W;13:40
26.3.2019;fridge;2,7W;13:45
26.3.2019;fridge;32,4W;13:50
26.3.2019;fridge;37,2W;13:55
26.3.2019;fridge;38,9W;14:00
26.3.2019;fridge;38,9W;14:05
26.3.2019;fridge;38,9W;14:10
26.3.2019;fridge;36,6W;14:15
26.3.2019;fridge;36,1W;14:20
26.3.2019;fridge;35,6W;14:25
26.3.2019;fridge;35,6W;14:30
26.3.2019;fridge;34,5W;14:35
26.3.2019;fridge;35,1W;14:40
26.3.2019;fridge;37,5W;14:45
26.3.2019;fridge;36,7W;14:50
26.3.2019;fridge;36,7W;14:55
26.3.2019;fridge;35,3W;15:00
26.3.2019;fridge;35,8W;15:05
26.3.2019;fridge;35,2W;15:10
26.3.2019;fridge;35,1W;15:15
26.3.2019;fridge;34,2W;15:20
26.3.2019;fridge;34,8W;15:25
26.3.2019;fridge;4,0W;15:30
26.3.2019;fridge;3,2W;15:35
26.3.2019;fridge;1,5W;15:40
26.3.2019;fridge;37,5W;15:45
26.3.2019;fridge;36,8W;15:50
26.3.2019;fridge;37,8W;15:55
26.3.2019;fridge;37,8W;16:00
26.3.2019;fridge;37,4W;16:05
26.3.2019;fridge;36,5W;16:10
26.3.2019;fridge;36,0W;16:15
26.3.2019;fridge;36,4W;16:20
26.3.2019;fridge;34,8W;16:25
26.3.2019;fridge;34,8W;16:30
26.3.2019;fridge;34,8W;16:35
26.3.2019;fridge;33,9W;16:40
26.3.2019;fridge;36,9W;16:45
26.3.2019;fridge;35,6W;16:50
26.3.2019;fridge;35,6W;16:55
26.3.2019;fridge;34,2W;17:00
26.3.2019;fridge;34,2W;17:05
26.3.2019;fridge;35,2W;17:10
26.3.2019;fridge;35,2W;17:15
26.3.2019;fridge;34,7W;17:20
26.3.2019;fridge;4,0W;17:25
26.3.2019;fridge;1,6W;17:30
26.3.2019;fridge;2,6W;17:35
26.3.2019;fridge;36,4W;17:40
26.3.2019;fridge;36,7W;17:45
26.3.2019;fridge;37,2W;17:50
26.3.2019;fridge;37,2W;17:55
26.3.2019;fridge;36,2W;18:00
26.3.2019;fridge;36,2W;18:05
26.3.2019;fridge;34,6W;18:10
26.3.2019;fridge;33,9W;18:15
26.3.2019;fridge;34,3W;18:20
26.3.2019;fridge;34,3W;18:25
26.3.2019;fridge;33,7W;18:30
26.3.2019;fridge;4,1W;18:35
26.3.2019;fridge;2,0W;18:40
26.3.2019;fridge;2,0W;18:45
26.3.2019;fridge;35,0W;18:50
26.3.2019;fridge;35,0W;18:55
26.3.2019;fridge;35,0W;19:00
26.3.2019;fridge;35,3W;19:05
26.3.2019;fridge;35,3W;19:10
26.3.2019;fridge;35,3W;19:15
26.3.2019;fridge;34,9W;19:20
26.3.2019;fridge;34,1W;19:25
26.3.2019;fridge;33,6W;19:30
26.3.2019;fridge;34,5W;19:35
26.3.2019;fridge;33,8W;19:40
26.3.2019;fridge;3,7W;19:45
26.3.2019;fridge;1,6W;19:50
26.3.2019;fridge;1,6W;19:55
26.3.2019;fridge;31,6W;20:00
26.3.2019;fridge;36,1W;20:05
26.3.2019;fridge;36,3W;20:10
26.3.2019;fridge;37,2W;20:15
26.3.2019;fridge;37,2W;20:20
26.3.2019;fridge;34,9W;20:25
26.3.2019;fridge;34,4W;20:30
26.3.2019;fridge;189,7W;20:35
26.3.2019;fridge;158,5W;20:40
26.3.2019;fridge;158,5W;20:45
26.3.2019;fridge;157,5W;20:50
26.3.2019;fridge;157,5W;20:55
26.3.2019;fridge;38,6W;21:00
26.3.2019;fridge;45,0W;21:05
26.3.2019;fridge;45,0W;21:10
26.3.2019;fridge;41,7W;21:15
26.3.2019;fridge;41,1W;21:20
26.3.2019;fridge;40,0W;21:25
26.3.2019;fridge;40,0W;21:30
26.3.2019;fridge;38,4W;21:35
26.3.2019;fridge;36,9W;21:40
26.3.2019;fridge;36,7W;21:45
26.3.2019;fridge;35,7W;21:50
26.3.2019;fridge;35,6W;21:55
26.3.2019;fridge;35,7W;22:00
26.3.2019;fridge;35,5W;22:05
26.3.2019;fridge;35,6W;22:10
26.3.2019;fridge;35,0W;22:15
26.3.2019;fridge;34,8W;22:20
26.3.2019;fridge;35,8W;22:25
26.3.2019;fridge;36,6W;22:30
26.3.2019;fridge;36,6W;22:35
26.3.2019;fridge;36,6W;22:40
26.3.2019;fridge;35,0W;22:45
26.3.2019;fridge;35,0W;22:50
26.3.2019;fridge;34,1W;22:55
26.3.2019;fridge;33,9W;23:00
26.3.2019;fridge;33,5W;23:05
26.3.2019;fridge;2,7W;23:10
26.3.2019;fridge;1,4W;23:15
26.3.2019;fridge;1,4W;23:20
26.3.2019;fridge;1,4W;23:25
26.3.2019;fridge;34,6W;23:30
26.3.2019;fridge;34,6W;23:35
26.3.2019;fridge;37,3W;23:40
26.3.2019;fridge;37,3W;23:45
26.3.2019;fridge;36,1W;23:50
26.3.2019;fridge;36,1W;23:55
27.3.2019;fridge;34,3W;00:00
27.3.2019;fridge;34,3W;00:05
27.3.2019;fridge;34,7W;00:10
27.3.2019;fridge;33,7W;00:15
27.3.2019;fridge;33,6W;00:20
27.3.2019;fridge;33,5W;00:25
27.3.2019;fridge;2,5W;00:30
27.3.2019;fridge;2,5W;00:35
27.3.2019;fridge;2,5W;00:40
27.3.2019;fridge;2,5W;00:45
27.3.2019;fridge;34,4W;00:50
27.3.2019;fridge;34,4W;00:55
27.3.2019;fridge;34,4W;01:00
27.3.2019;fridge;36,0W;01:05
27.3.2019;fridge;35,2W;01:10
27.3.2019;fridge;35,2W;01:15
27.3.2019;fridge;34,2W;01:20
27.3.2019;fridge;34,2W;01:25
27.3.2019;fridge;34,2W;01:30
27.3.2019;fridge;34,5W;01:35
27.3.2019;fridge;33,8W;01:40
27.3.2019;fridge;1,7W;01:45
27.3.2019;fridge;1,4W;01:50
27.3.2019;fridge;1,4W;01:55
27.3.2019;fridge;1,4W;02:00
27.3.2019;fridge;34,0W;02:05
27.3.2019;fridge;34,9W;02:10
27.3.2019;fridge;36,6W;02:15
27.3.2019;fridge;36,6W;02:20
27.3.2019;fridge;35,4W;02:25
27.3.2019;fridge;35,3W;02:30
27.3.2019;fridge;34,6W;02:35
27.3.2019;fridge;34,3W;02:40
27.3.2019;fridge;34,9W;02:45
27.3.2019;fridge;34,9W;02:50
27.3.2019;fridge;33,4W;02:55
27.3.2019;fridge;2,6W;03:00
27.3.2019;fridge;2,6W;03:05
27.3.2019;fridge;2,6W;03:10
27.3.2019;fridge;26,9W;03:15
27.3.2019;fridge;35,1W;03:20
27.3.2019;fridge;35,1W;03:25
27.3.2019;fridge;36,5W;03:30
27.3.2019;fridge;36,5W;03:35
27.3.2019;fridge;35,4W;03:40
27.3.2019;fridge;34,6W;03:45
27.3.2019;fridge;34,0W;03:50
27.3.2019;fridge;34,3W;03:55
27.3.2019;fridge;34,3W;04:00
27.3.2019;fridge;33,5W;04:05
27.3.2019;fridge;2,8W;04:10
27.3.2019;fridge;1,8W;04:15
27.3.2019;fridge;1,8W;04:20
27.3.2019;fridge;1,8W;04:25
27.3.2019;fridge;30,5W;04:30
27.3.2019;fridge;36,1W;04:35
27.3.2019;fridge;37,1W;04:40
27.3.2019;fridge;37,3W;04:45
27.3.2019;fridge;35,7W;04:50
27.3.2019;fridge;35,1W;04:55
27.3.2019;fridge;34,7W;05:00
27.3.2019;fridge;34,6W;05:05
27.3.2019;fridge;34,6W;05:10
27.3.2019;fridge;33,7W;05:15
27.3.2019;fridge;33,7W;05:20
27.3.2019;fridge;2,5W;05:25
27.3.2019;fridge;2,5W;05:30
27.3.2019;fridge;2,5W;05:35
27.3.2019;fridge;2,5W;05:40
27.3.2019;fridge;34,6W;05:45
27.3.2019;fridge;36,1W;05:50
27.3.2019;fridge;35,7W;05:55
27.3.2019;fridge;36,9W;06:00
27.3.2019;fridge;35,4W;06:05
27.3.2019;fridge;35,1W;06:10
27.3.2019;fridge;34,8W;06:15
27.3.2019;fridge;34,0W;06:20
27.3.2019;fridge;33,4W;06:25
27.3.2019;fridge;33,3W;06:30
27.3.2019;fridge;33,0W;06:35
27.3.2019;fridge;2,5W;06:40
27.3.2019;fridge;2,5W;06:45
27.3.2019;fridge;1,6W;06:50
27.3.2019;fridge;29,1W;06:55
27.3.2019;fridge;35,4W;07:00
27.3.2019;fridge;35,4W;07:05
27.3.2019;fridge;35,4W;07:10
27.3.2019;fridge;36,4W;07:15
27.3.2019;fridge;34,9W;07:20
27.3.2019;fridge;34,8W;07:25
27.3.2019;fridge;34,5W;07:30
27.3.2019;fridge;34,3W;07:35
27.3.2019;fridge;33,7W;07:40
27.3.2019;fridge;33,7W;07:45
27.3.2019;fridge;1,5W;07:50
27.3.2019;fridge;1,5W;07:55
27.3.2019;fridge;1,5W;08:00
27.3.2019;fridge;1,5W;08:05
27.3.2019;fridge;30,6W;08:10
27.3.2019;fridge;35,2W;08:15
27.3.2019;fridge;37,7W;08:20
27.3.2019;fridge;37,7W;08:25
27.3.2019;fridge;37,7W;08:30
27.3.2019;fridge;34,8W;08:35
27.3.2019;fridge;34,7W;08:40
27.3.2019;fridge;34,4W;08:45
27.3.2019;fridge;33,8W;08:50
27.3.2019;fridge;33,4W;08:55
27.3.2019;fridge;32,6W;09:00
27.3.2019;fridge;2,7W;09:05
27.3.2019;fridge;2,7W;09:10
27.3.2019;fridge;2,7W;09:15
27.3.2019;fridge;2,7W;09:20
27.3.2019;fridge;34,1W;09:25
27.3.2019;fridge;36,5W;09:30
27.3.2019;fridge;36,5W;09:35
27.3.2019;fridge;36,4W;09:40
27.3.2019;fridge;35,1W;09:45
27.3.2019;fridge;34,9W;09:50
27.3.2019;fridge;34,7W;09:55
27.3.2019;fridge;34,7W;10:00
27.3.2019;fridge;34,1W;10:05
27.3.2019;fridge;34,1W;10:10
27.3.2019;fridge;2,7W;10:15
27.3.2019;fridge;1,4W;10:20
27.3.2019;fridge;1,4W;10:25
27.3.2019;fridge;1,4W;10:30
27.3.2019;fridge;36,7W;10:35
27.3.2019;fridge;36,8W;10:40
27.3.2019;fridge;75,6W;10:45
27.3.2019;fridge;75,6W;10:50
27.3.2019;fridge;157,1W;10:55
27.3.2019;fridge;152,9W;11:00
27.3.2019;fridge;152,9W;11:05
27.3.2019;fridge;152,9W;11:10
27.3.2019;fridge;152,9W;11:15
27.3.2019;fridge;38,8W;11:20
27.3.2019;fridge;46,9W;11:25
27.3.2019;fridge;46,9W;11:30
27.3.2019;fridge;46,9W;11:35
27.3.2019;fridge;46,9W;11:40
27.3.2019;fridge;46,9W;11:45
27.3.2019;fridge;43,0W;11:50
27.3.2019;fridge;42,3W;11:55
27.3.2019;fridge;42,3W;12:00
27.3.2019;fridge;42,3W;12:05
27.3.2019;fridge;42,3W;12:10
27.3.2019;fridge;42,3W;12:15
27.3.2019;fridge;37,8W;12:20
27.3.2019;fridge;37,0W;12:25
27.3.2019;fridge;37,0W;12:30
27.3.2019;fridge;38,2W;12:35
27.3.2019;fridge;39,4W;12:40
27.3.2019;fridge;39,5W;12:45
27.3.2019;fridge;38,6W;12:50
27.3.2019;fridge;37,4W;12:55
27.3.2019;fridge;37,3W;13:00
27.3.2019;fridge;36,5W;13:05
27.3.2019;fridge;36,5W;13:10
27.3.2019;fridge;36,6W;13:15
27.3.2019;fridge;35,4W;13:20
27.3.2019;fridge;35,4W;13:25
27.3.2019;fridge;37,3W;13:30
27.3.2019;fridge;37,5W;13:35
27.3.2019;fridge;38,4W;13:40
27.3.2019;fridge;38,4W;13:45
27.3.2019;fridge;36,7W;13:50
27.3.2019;fridge;35,7W;13:55
27.3.2019;fridge;35,7W;14:00
27.3.2019;fridge;35,0W;14:05
27.3.2019;fridge;35,1W;14:10
27.3.2019;fridge;34,8W;14:15
27.3.2019;fridge;49,5W;14:20
27.3.2019;fridge;49,5W;14:25
27.3.2019;fridge;2,5W;14:30
27.3.2019;fridge;2,5W;14:35
27.3.2019;fridge;2,5W;14:40
27.3.2019;fridge;2,5W;14:45
27.3.2019;fridge;40,7W;14:50
27.3.2019;fridge;37,3W;14:55
27.3.2019;fridge;38,5W;15:00
27.3.2019;fridge;59,0W;15:05
27.3.2019;fridge;59,0W;15:10
27.3.2019;fridge;59,0W;15:15
27.3.2019;fridge;59,0W;15:20
27.3.2019;fridge;59,0W;15:25
27.3.2019;fridge;59,0W;15:30
27.3.2019;fridge;59,0W;15:35
27.3.2019;fridge;3,9W;15:40
27.3.2019;fridge;3,9W;15:45
27.3.2019;fridge;2,7W;15:50
27.3.2019;fridge;70,3W;15:55
27.3.2019;fridge;70,3W;16:00
27.3.2019;fridge;70,3W;16:05
27.3.2019;fridge;70,3W;16:10
27.3.2019;fridge;70,3W;16:15
27.3.2019;fridge;70,3W;16:20
27.3.2019;fridge;70,3W;16:25
27.3.2019;fridge;70,3W;16:30
27.3.2019;fridge;2,7W;16:35
27.3.2019;fridge;2,7W;16:40
27.3.2019;fridge;68,9W;16:45
27.3.2019;fridge;68,9W;16:50
27.3.2019;fridge;68,9W;16:55
27.3.2019;fridge;68,9W;17:00
27.3.2019;fridge;68,9W;17:05
27.3.2019;fridge;68,9W;17:10
27.3.2019;fridge;68,9W;17:15
27.3.2019;fridge;68,9W;17:20
27.3.2019;fridge;3,9W;17:25
27.3.2019;fridge;3,9W;17:30
27.3.2019;fridge;31,2W;17:35
27.3.2019;fridge;36,3W;17:40
27.3.2019;fridge;38,9W;17:45
27.3.2019;fridge;38,8W;17:50
27.3.2019;fridge;38,7W;17:55
27.3.2019;fridge;38,7W;18:00
27.3.2019;fridge;38,7W;18:05
27.3.2019;fridge;36,5W;18:10
27.3.2019;fridge;36,3W;18:15
27.3.2019;fridge;185,5W;18:20
27.3.2019;fridge;154,3W;18:25
27.3.2019;fridge;154,3W;18:30
27.3.2019;fridge;154,3W;18:35
27.3.2019;fridge;154,3W;18:40
27.3.2019;fridge;42,7W;18:45
27.3.2019;fridge;43,7W;18:50
27.3.2019;fridge;43,7W;18:55
27.3.2019;fridge;43,7W;19:00
27.3.2019;fridge;42,0W;19:05
27.3.2019;fridge;42,0W;19:10
27.3.2019;fridge;41,5W;19:15
27.3.2019;fridge;41,1W;19:20
27.3.2019;fridge;41,1W;19:25
27.3.2019;fridge;41,1W;19:30
27.3.2019;fridge;41,1W;19:35
27.3.2019;fridge;41,1W;19:40
27.3.2019;fridge;41,1W;19:45
27.3.2019;fridge;36,4W;19:50
27.3.2019;fridge;36,4W;19:55
27.3.2019;fridge;37,0W;20:00
27.3.2019;fridge;37,0W;20:05
27.3.2019;fridge;37,0W;20:10
27.3.2019;fridge;37,0W;20:15
27.3.2019;fridge;36,5W;20:20
27.3.2019;fridge;36,5W;20:25
27.3.2019;fridge;35,8W;20:30
27.3.2019;fridge;35,5W;20:35
27.3.2019;fridge;35,1W;20:40
27.3.2019;fridge;35,6W;20:45
27.3.2019;fridge;34,7W;20:50
27.3.2019;fridge;36,3W;20:55
27.3.2019;fridge;37,8W;21:00
27.3.2019;fridge;37,8W;21:05
27.3.2019;fridge;37,5W;21:10
27.3.2019;fridge;35,0W;21:15
27.3.2019;fridge;35,0W;21:20
27.3.2019;fridge;35,0W;21:25
27.3.2019;fridge;34,8W;21:30
27.3.2019;fridge;34,8W;21:35
27.3.2019;fridge;34,4W;21:40
27.3.2019;fridge;62,2W;21:45
27.3.2019;fridge;62,2W;21:50
27.3.2019;fridge;62,2W;21:55
27.3.2019;fridge;62,2W;22:00
27.3.2019;fridge;62,2W;22:05
27.3.2019;fridge;2,8W;22:10
27.3.2019;fridge;2,8W;22:15
27.3.2019;fridge;2,8W;22:20
27.3.2019;fridge;35,7W;22:25
27.3.2019;fridge;36,7W;22:30
27.3.2019;fridge;37,2W;22:35
27.3.2019;fridge;37,2W;22:40
27.3.2019;fridge;34,8W;22:45
27.3.2019;fridge;34,8W;22:50
27.3.2019;fridge;34,7W;22:55
27.3.2019;fridge;34,7W;23:00
27.3.2019;fridge;34,5W;23:05
27.3.2019;fridge;33,0W;23:10
27.3.2019;fridge;33,6W;23:15
27.3.2019;fridge;33,0W;23:20
27.3.2019;fridge;3,9W;23:25
27.3.2019;fridge;2,1W;23:30
27.3.2019;fridge;2,1W;23:35
27.3.2019;fridge;35,2W;23:40
27.3.2019;fridge;36,0W;23:45
27.3.2019;fridge;36,7W;23:50
27.3.2019;fridge;37,1W;23:55
